STAFFORDSHIRE SENTINEL: SATURDAY 3 AUGUST 1895-2.

**NORTH STAFFORDSHIRE AND DISTRICT CRICKET LEAGUE**

**RESULTS UP TO DATE.**

**1ST DIVISION.**

| Name of Club. | Played. | Won. | Lost. | Drawn. | Pts. |
*Signifies not out.

**LEEK.**

Leek first team had no match at all on Saturday. They were resting after making the record number of single points, with a hope that when they re-commence it will run to two points. After the club week they will be able to do with them. Four readers will have noticed that there were no notes from Leek on Saturday. They were written, but the boy who was entrusted with the important mission of conveying them to the station forgot the way. Neither have been heard of since.

Last Saturday was a soaker. It was Eagshaw's benefit, and the match was against our old friends, Burton, whose faces have not been seen in Leek for a few seasons, but of whose performances this season we offer congratulations. Everything promised a bumping gate, as the Leek team were not playing, and Kirkby, in a most generous manner, assisted his brother professional. Burton is was the pretented brother that occasion the disappointment, a heavy shower coming on just previously to the time fixed for commencing.

The visitors came in grand style in a coach-and-four, and they reached the ground in good time. The spectators were but few, and it showed a good feeling to see so many of the prominent members of the Leek club on the ground. Leek won the toss, and that was about all that was done for an hour; but at last the sun came out, and the Temperance Band played a lively selection, and the game commenced.

Kirkby and Eagshaw took the bowling, but from some cause or other Eagshaw did not come off, and after bowling some dozen overs, which were very expensive, he was taken off. Kirkby was in good form, and he obtained five wickets for 39 runs and maintained his ascendency against Burton.

Ball made a mistake in missing Harey when that player had only scored 1 run, as his total was 34. Maddock was a patient bat, and kept up his wicket, but failed to add many to the score-sheet. Woodruff had a short and merry career, one of his hits for 6 was a treat. When eight wickets were down for 86 rain again set in, and the match was abandoned.

Leek Highfield have not yet sustained a defeat this season, and their application for permission to join the North Staffordshire League next season ought to be favourably considered.

Leek Lowerre were playing Oakamoor on the Leek ground. Leek scored 51, of which number Dr. Hassaram was responsible for 30, and G. Tudor 16. When 51 had been obtained for seven wickets, the innings was closed. Oakamoor did not bat long, obtaining 2 runs without the loss of a wicket, when rain prevented any further play.

The Church Club were engaged with Audley on their hundred acre enclosure. The visitors batted first. At least they were the only players who did bat, for when the score was 58 for seven wickets, the gentle rain descended, and the game was abandoned. Out of the 58 J. Leek was responsible for 23.

To-day there will be only one junior match—Leek, and it will be difficult to find eleven players to fit in the town to do duty, as the usual exodus commenced yesterday, and Leek this week-end could very properly be called "Own it notes," all the places of business having closed for a week.

**KEELE.**

This week your millions of readers will doubt the authenticity of these notes, as they don't bear the usual "at it again" figurehead. But for our friend Jew Peter Phyrus, I have no doubt we should have not up business as usual under the old sign, but as I wrote in my only book years and years ago, "The wind is tempered to the shorn lamb." So it was on Saturday, thanks to Jew Peter. For wind, read Whitmore Rangers (excluding Whitmore, Silverdale, Newcastle, Porthill, and Madeley) for the shorn lamb read Keele, and the parable is complete. In other words we were in for the usual scorching, but for the rain which damped the score. We won the toss and elected to bat. The Rector and J. Jones opened to Lipfoot (Silverdale) and Maudsley (Porthill), Jones soon retired, Lightfoot being yards too fast for him, and H. Taylor also retired from the same cause. Then Burroughs joined the Rector (who was playing very steadily), and the first change took place, Glover going on for Maudsley. Then the final change, and the game was over at 5.15. (33 for two wickets.) Burroughs 15 and the Rector 11 (both not out). By some unaccountable means Burroughs played for Keele, when he was put down for Whitmore. If I should just like to wonder where the sport is, in bringing a team like Whitmore Rangers brought against a young and inexperienced team like Keele, in which, as a rule, the players are home grown. Truly, it was said your numerous readers recently, "Is dewed," but win, at any rate, seems to be very much alive. At all events, thanks to our umpire and friend "Jew Peter," we gained one point, and he stopped the game at the right time with his watering pot.

To-day, Norton-in-Hales at Keele.

**BIGNALL END.**

The above club journeyed to Chell last Saturday to play the return League fixture. We won the toss, and sent the home team in to bat. The match had not proceeded far when the rain came on, and stayed out as long as possible, but had to retire when we had succeeded in dismissing nine of the Chell men out for 32 runs. We were anxiously waiting for about an hour and a half for it to clear up so that we might finish up the game, and at last, with the aid of the light for the evening we began to play again.

Nantwich Second team had to scratch on, and they got the advantage of the toss, we having to lose a point owing to it. The match is, if we should have won, I think is our best experience, and the determination of our players we should have pulled off the match. However, we had to be content with a draw. The rain stopping the match when the two last men were in for Chell. Score 83.

M. Statham bowled excellently, taking six wickets for 12 runs, and J. Dale three for 31. To-day Audley.

**CLOUGH HALL.**

Rain again interfered with the cricket fixture in the League match against Tunstall on Saturday. Dobson lost the toss, and Tunstall went to the wickets. Bull and Webster faced the bowling of Warburton and Packin. The wicket was a heavy one, and runs came slowly. None of the runs having been made double figures, and their innings closed for a total of 44 when the rain prevented further play. The averages of the Clough bowling was as follow:—Warburton, 4-6; Packin, 0-9; Broadhurst, 5-3; and Rothwell, who did remarkably well, 1-23.

To-day the team should play away at Silverdale.

Thursday's match against Tunstall was a disastrous one for the Hall. Tunstall, who batted first, put up a total of 99, and against such a score the chances of the home club were small indeed. The visiting batsmen were pushed for the bowling, and tried every shot in turn to make. The Hall team succeeded in putting up 34—by no means bad. The bowling of Match was very destructive.

**MARKET DRAYTON.**

Rain fell pretty generally in this district on Saturday, and no sheet of note came under my notice. Drayton did turn out in their encounter with Whitechurch, but rain fell so heavily, and the ground became so saturated, that although it cleared up at the late five, it was found impossible to proceed with the game. Drayton were assisted by Mr. T. Heywood and Co, of Calveley. The first three of the batsmen contributed, but against the bowling of Cliff, but J. Lavid (not out 17) and W. G. Stephenson (not out 8) broke the spell of fortune which had favoured the visitors. Stephenson was a grand success to Taylor in keeping up the wicket so splendidly, and not in this case, which we are apt to see in local teams, too eager for run-getting. At the period the game was abandoned, a very heavy storm coming on.

To-day Newport play the return at Drayton.

**HIGH LANE.**

On Saturday we visited St. Paul's, whose ground is situated in "the lake district." Cricket seemed out of the question when we started to the ground. On our arrival, however, the weather soon cleared up. The home side won the toss, and decided to bat, sending Adams and Owen to face the bowling of Whichurs and Capey. Wickets fell thus: Two for 2, three for 4, four for 7, five for 7, six for 7, seven for 11, eight for 17, nine for 17 (only ten men batting); total, 19. Whichurst bowled eleven overs, four maidens, taking seven wickets for 9 runs. Capey took two for 5. Heavy rain fell, and we found another pitch and decided to go on with the game. What a disgraceful start! Three wickets went down for 1 run, Wallace catching Foster in the first over, and Cartwright bowling two men in the second over. More rain fell, but the sides agreed to continue the game. Runs could well be could be expected on such a wicket, and St. Paul's men should have continued their innings until the winning hit, but they contented themselves with three or four minutes, when the players could stand the wet no longer, all having a run for the pavilion with wet jackets.

**LAWTON PARK.**

Both fixtures on Saturday fell with Middleport were postponed, owing to the rain. A start was made, but play was impossible, and the game ceased when Middleport had made 21 runs for the loss of five wickets. To-day Caddington pay the Park a visit in a friendly encounter.

**JUNIOR CRICKET GOSSIP.**

Saturday last turned out most unfavourable for cricket, and with one or two exceptions no matches could be brought to a definite conclusion owing to the disastrous weather. It is useless attempting to describe any of the games which commenced, and only one match has reached us to hand where the full time was played out. This was Peaton Second v. Crewe Second. The game took place on the latter's ground, and the homeeters had whipped together a powerful side including Evanson, Brennan, Hissep, and Lyon, of the first eleven. The homesters batted first and put together 75, Evanson played well for 25, as did Manner for 14, George Bonlenier was again in evidence with the ball, and captured six wickets for 30 runs, but had the fielding been up to his work his analysis would have been much better. Boothurst only had his lobbs captured four wickets for 12 runs. I forget to mention that the players on each side numbered twelve. With an hour to get the runs, the visitors showed good form, and were unlucky in not winning, as they put together 66 for six wickets, and were thus robbed of victory, as time was called at six o'clock. Roberts batted splendidly for 27, not out, as did Winkls 16 and Harper 14.
