matchup,page,date,content_type,collection,record_id
Thames Bank v Abbey Wharf,20,18950817,match information,Tony Webb minor counties collection,2,20 and 22
Thames Bank v Reading Borough Police,20,18950820,match information,Tony Webb minor counties collection,2,20 and 22
Biscuit Factory A v Wokingham,20,18950817,match information,Tony Webb minor counties collection,2,20 and 22
Biscuit Factory B XI v Causton's Athletic,20,18950817,match information,Tony Webb minor counties collection,2,20 and 22
London-Street Institute v Co-Operative,20,18950821,match information,Tony Webb minor counties collection,1,
South Reading v Stoke Row,20,18950817,match information,Tony Webb minor counties collection,1,
Gentlemen of Berkshire v C.D. Rose's XI,20,18950816,match information,Tony Webb minor counties collection,2,20 and 22
Avondale v Oxford-Road,20,18950821,match information,Tony Webb minor counties collection,1,
Heath Row v Ipsden,20,18950817,match information,Tony Webb minor counties collection,1,
Wycliffe v Christchurch,20,18950817,match information,Tony Webb minor counties collection,1,
Newbury v C.E. Keyser's XI,20,18950816,match information,Tony Webb minor counties collection,1,
Guildhall v Newtown,21,18950817,match information,Tony Webb minor counties collection,1,
Parish Church Institute v Highclere,21,18950817,match information,Tony Webb minor counties collection,1,
Speen v Burghclere,21,18950817,match information,Tony Webb minor counties collection,1,
Lambourn v Hungerford,21,18950816,match information,Tony Webb minor counties collection,1,
Burghclere v Adbury House,21,18950814,match information,Tony Webb minor counties collection,1,
Burghclere Boys v Highclere Boys,21,18950819,match information,Tony Webb minor counties collection,1,
East Woodhay v Stockcross,21,18950814,match information,Tony Webb minor counties collection,1,
Wantage v Ardington,21,18950822,match information,Tony Webb minor counties collection,1,
A.W. Baker's Hagbourne Team v A.F. Clarke's Wantage Team,21,18950817,match information,Tony Webb minor counties collection,1,
Newbury v 49th Regimental District,21,18950821,match information,Tony Webb minor counties collection,1,
Aldermaston Juniors v Padworth Juniors,23,18950821,match information,Tony Webb minor counties collection,1,
Sutton's Juniors v P. Sutton's XI,23,18950821,match information,Tony Webb minor counties collection,1,
Abingdon player statistics,24,18950000,statistics,Tony Webb minor counties collection,1,
Newbury match list,25,18950000,team information,Tony Webb minor counties collection,1,
Newbury player statistics,25,18950000,statistics,Tony Webb minor counties collection,1,
Shepherd's XI v Woolley Park,26,18950904,match information,Tony Webb minor counties collection,1,
Inkpen v Falkland,26,18950000,match information,Tony Webb minor counties collection,1,
Stockcross v Chieveley,26,18950907,match information,Tony Webb minor counties collection,1,
Stockcross match list,26,18950000,team information,Tony Webb minor counties collection,1,
Lambourn v Chilton,26,18950907,match information,Tony Webb minor counties collection,1,
Southington v A. Kingsmill's XII,26,18950000,match information,Tony Webb minor counties collection,1,
Silchester v Stratfieldsaye,26,18950000,match information,Tony Webb minor counties collection,1,
Bradfield v A. Sutton's XI,26,18950907,match information,Tony Webb minor counties collection,1,
Burghclere v Adbury House,26,18950000,match information,Tony Webb minor counties collection,1,
Newtown v Parish Church Institute,26,18950831,match information,Tony Webb minor counties collection,1,
Adbury House v Newtown House,26,18950905,match information,Tony Webb minor counties collection,1,
Speen player statistics,26,18950000,statistics,Tony Webb minor counties collection,1,
49th Regimental District player statistics,27,18950000,statistics,Tony Webb minor counties collection,1,
Royal Berks Seed Establishment player statistics,27,18950000,statistics,Tony Webb minor counties collection,2,
Biscuit Factory player statistics,27,18950000,statistics,Tony Webb minor counties collection,2,
Biscuit Factory team aggregates,27,18950000,statistics,Tony Webb minor counties collection,2,
Sunningdale School player statistics,27,18950000,statistics,Tony Webb minor counties collection,1,
Heckfield v Major Mildmay's XI,27,18950910,match information,Tony Webb minor counties collection,1,
St. John's Teachers v St. Stephen's Teachers,27,18950918,match information,Tony Webb minor counties collection,1,
Reading Police v Reading Corporation Officials,27,18950914,match information,Tony Webb minor counties collection,1,
Lechlade player statistics,29,18950000,statistics,Tony Webb minor counties collection,1,
Maidenhead player statistics,30,18950000,statistics,Tony Webb minor counties collection,1,
Brecon v Llandovery,31,18950821,match information,Tony Webb minor counties collection,1,
Chalfont Park v Beaconsfield,32,18950713,match information,Tony Webb minor counties collection,1,
Cadmore v Radnage,32,18950713,match information,Tony Webb minor counties collection,1,
Amersham v Coleshill,32,18950713,match information,Tony Webb minor counties collection,1,
Burnham v Boyn Hill,32,18950713,match information,Tony Webb minor counties collection,1,
Bradenham v Bledlow Ridge,32,18950713,match information,Tony Webb minor counties collection,1,
High Wycombe v E. Stevens' XI,33,18950803,match information,Tony Webb minor counties collection,1,
Rayners XI v Permanent Staff of the 3rd Batt. Oxford Light Infantry,33,18950805,match information,Tony Webb minor counties collection,1,
Amersham v Harlesden,33,18950805,match information,Tony Webb minor counties collection,1,
Wycombe Alexandra v Beethoven (London),33,18950805,match information,Tony Webb minor counties collection,1,
J. Grenfell's XI v Beaconsfield,33,18950805,match information,Tony Webb minor counties collection,1,
Berkley's XI v Greaves' XI,33,18950800,match information,Tony Webb minor counties collection,1,
St. Mark's Choir v Little Marlow,33,18950805,match information,Tony Webb minor counties collection,1,
Alexandra 2nd v Primitive Methodists,33,18950803,match information,Tony Webb minor counties collection,1,
Burnham v Flackwell Heath,33,18950803,match information,Tony Webb minor counties collection,1,
Wycombe Church Room v Wheeler End,33,18950805,match information,Tony Webb minor counties collection,1,
Hazlemere United v Cadmore End,33,18950805,match information,Tony Webb minor counties collection,1,
Marlow v Oriel,33,18950805,match information,Tony Webb minor counties collection,1,
Wycombe v Oriel,34,18950806,match information,Tony Webb minor counties collection,1,
Great Hampden v Old Northeyites,34,18950807,match information,Tony Webb minor counties collection,1,
Wycombe Y.M.C.A. v A. Gray's XI,34,18950805,match information,Tony Webb minor counties collection,1,
Chalfont Park v St. Silas (London),34,18950806,match information,Tony Webb minor counties collection,1,
Burnham v Postal Telegraph (London),34,18950805,match information,Tony Webb minor counties collection,1,
Taplow Station v Bryanston Square,34,18950803,match information,Tony Webb minor counties collection,1,
Colman Green v Gerrards Cross,34,18950800,match information,Tony Webb minor counties collection,1,
Church Institute v Gayhurst,35,18950801,match information,Tony Webb minor counties collection,1,
Parish Church Institute v Fenny Stratford,35,18950803,match information,Tony Webb minor counties collection,1,
Parish Church Institute v Moulson,35,18950805,match information,Tony Webb minor counties collection,1,
Gayhurst v Tyringham,35,18950807,match information,Tony Webb minor counties collection,1,
Stantonbury St. James v Stony Stratford Mutual,35,18950802,match information,Tony Webb minor counties collection,1,
Flackwell Heath 2nd XI v Little Marlow,36,18950810,match information,Tony Webb minor counties collection,1,
Marlow v High Wycombe,36,18950810,match information,Tony Webb minor counties collection,1,
Wycombe Reserves v West Wycombe,36,18950810,match information,Tony Webb minor counties collection,1,
Blythewood v Cippenham,36,18950810,match information,Tony Webb minor counties collection,1,
Taplow Station v Reading Temperance Forward,36,18950810,match information,Tony Webb minor counties collection,1,
Stokenchurch v Skirmett,37,18950806,match information,Tony Webb minor counties collection,1,
Boyn Hill v Bisham,37,18950810,match information,Tony Webb minor counties collection,1,
Pine Apple v King's Head,37,18950805,match information,Tony Webb minor counties collection,1,
Quarterman's Firm v R Ford's Firm,37,18950808,match information,Tony Webb minor counties collection,1,
Coleshill CC v St Margaret's CC,37,18950810,match information,Tony Webb minor counties collection,1,
Long Crendon v Dinton,37,18950807,match information,Tony Webb minor counties collection,1,
Wycombe Reserves v West Wycombe,38,18950824,match information,Tony Webb minor counties collection,1,
High Wycombe v Wooburn Institute,38,18950824,match information,Tony Webb minor counties collection,1,
Burnham v Taplow Station,38,18950824,match information,Tony Webb minor counties collection,1,
Maidenhead v Cippenham,38,18950824,match information,Tony Webb minor counties collection,1,
Blythewood v Burnham Priory,38,18950824,match information,Tony Webb minor counties collection,1,
Marlow v J Monro Walker's XI,38,18950824,match information,Tony Webb minor counties collection,1,
Wycombe Church Room v Wycombe St John's,38,18950824,match information,Tony Webb minor counties collection,1,
Wycombe Belle Vue Wanderers v Holloway's Boot Operatives CC,38,18950824,match information,Tony Webb minor counties collection,1,
Gerrards Cross v Flackwell Heath,38,18950824,match information,Tony Webb minor counties collection,1,
Speen v Ickenham,38,18950800,match information,Tony Webb minor counties collection,1,
Gerrards Cross v Amersham,38,18950822,match information,Tony Webb minor counties collection,1,
Wycombe YMCA v Wycombe Primitives,39,18950824,match information,Tony Webb minor counties collection,1,
Beaconsfield v Stoke Green,39,18950824,match information,Tony Webb minor counties collection,1,
Four Veterans v Four Juniors,39,18950826,match information,Tony Webb minor counties collection,1,
Great Kingshill v Pine Apple CC,39,18950824,match information,Tony Webb minor counties collection,1,
W Pearce's (Wycombe) XI v Southall,39,18950824,match information,Tony Webb minor counties collection,1,
Great Missenden v Lee Common,39,18950822,match information,Tony Webb minor counties collection,1,
Collins' Class v Booker Temperance,39,18950824,match information,Tony Webb minor counties collection,1,
Master H Penton's XI v Hedgerley Home,39,18950822,match information,Tony Webb minor counties collection,1,
Hillingdon v Chalfont Park,39,18950824,match information,Tony Webb minor counties collection,1,
Penn Street v Cholesbury,39,18950824,match information,Tony Webb minor counties collection,1,
Cookham Dean v Little Marlow,39,18950824,match information,Tony Webb minor counties collection,1,
Barton v Grantchester,40,18950727,match information,Tony Webb minor counties collection,1,
Sutton v Haddenham,40,18950727,match information,Tony Webb minor counties collection,1,
Married v Single,40,18950730,match information,Tony Webb minor counties collection,1,
Burnt Fen v Prickwillow,40,18950729,match information,Tony Webb minor counties collection,1,
Willingham v YMCA Cambridge,40,18950727,match information,Tony Webb minor counties collection,1,
Sawston v Old Higher Grade,40,18950727,match information,Tony Webb minor counties collection,1,
Liberals v Ainsworth,40,18950727,match information,Tony Webb minor counties collection,1,
Cambridge,41,18950803,newspaper cuttings,Tony Webb minor counties collection,1,
Histon and Impington v A Team of the Old Higher Grade,41,18950700,match information,Tony Webb minor counties collection,1,
Cambridge Town Council v County Council,42,18950815,match information,Tony Webb minor counties collection,1,
Assistants v Professors and Demonstrators,42,18950810,match information,Tony Webb minor counties collection,1,
County of Cambridge Police v Borough Police,43,18950803,match information,Tony Webb minor counties collection,1,
Trinity College Knockabouts v Grantchester,43,18950803,match information,Tony Webb minor counties collection,1,
Cambridge,43,18950810,newspaper cuttings,Tony Webb minor counties collection,1,
New Chesterton Juniors v Liberal 2nd XI,44,18950729,match information,Tony Webb minor counties collection,1,
Camden v St. Giles,44,18950729,match information,Tony Webb minor counties collection,1,
Liberals v St Giles,45,18950907,match information,Tony Webb minor counties collection,1,
Sawston Institute v Anchor,45,18950907,match information,Tony Webb minor counties collection,1,
Cambridge Borough Police v Cambridge County Police,45,18950911,match information,Tony Webb minor counties collection,1,
Levenshulme v Macclesfield,46,18950615,match information,Tony Webb minor counties collection,2,
Levenshulme 2nd XI v Macclesfield 2nd XI,46,18950615,match information,Tony Webb minor counties collection,2,
Stockport v Werneth,46,18950615,match information,Tony Webb minor counties collection,2,
Langley v Leek Highfield,46,18950615,match information,Tony Webb minor counties collection,2,
Stockport 2nd XI v Werneth 2nd XI,46,18950615,match information,Tony Webb minor counties collection,2,
Great Moor v Hazel Grove,46,18950615,match information,Tony Webb minor counties collection,2,
Bramall v Bowdon 2nd XI,46,18950615,match information,Tony Webb minor counties collection,2,
Heaton Mersey 2nd XI v South Manchester 2nd XI,46,18950615,match information,Tony Webb minor counties collection,2,
Wood-Lanes (Adlington) v Poynton 2nd XI,46,18950615,match information,Tony Webb minor counties collection,2,
Bollington v Buxton,46,18950615,match information,Tony Webb minor counties collection,2,
Cheadle Hulme v Brooklands,46,18950615,match information,Tony Webb minor counties collection,2,
Fulshaw v Cheadle,46,18950615,match information,Tony Webb minor counties collection,2,
Heaton Mersey v South Manchester,46,18950615,match information,Tony Webb minor counties collection,2,
Ormskirk v Leyland,48,18950700,match information,Tony Webb minor counties collection,1,
Warrington v Broughton,48,18950700,match information,Tony Webb minor counties collection,1,
West Derby v Southport,48,18950700,match information,Tony Webb minor counties collection,1,
Garston v Liverpool 3rd,48,18950700,match information,Tony Webb minor counties collection,1,
Old Xaverians v Barnett,48,18950700,match information,Tony Webb minor counties collection,1,
Birkenhead Victoria v Spital,48,18950700,match information,Tony Webb minor counties collection,1,
Castleton v Stockport,49,18950727,match information,Tony Webb minor counties collection,2,
St Thomas' Athletic v Norbury 2nd XI,49,18950727,match information,Tony Webb minor counties collection,2,
Mr G H Ling's XI v Cheadle,49,18950727,match information,Tony Webb minor counties collection,2,
Reddish Vale v Denton Wesleyans,49,18950727,match information,Tony Webb minor counties collection,2,
Phoenix v Manchester South End,49,18950727,match information,Tony Webb minor counties collection,2,
Bollington v Heaton Mersey,49,18950727,match information,Tony Webb minor counties collection,2,
Urmston v Bramall,49,18950727,match information,Tony Webb minor counties collection,2,
Macclesfield v Poynton,49,18950727,match information,Tony Webb minor counties collection,2,
St Matthew's v Hanover 2nd XI,49,18950727,match information,Tony Webb minor counties collection,2,
Stockport Congregational v Reddish St Elisabeth's,49,18950727,match information,Tony Webb minor counties collection,2,
Lancashire Hill SS v Haughton Wesleyans 1st XI,49,18950727,match information,Tony Webb minor counties collection,2,
Stockport Great Moor v Summer,49,18950727,match information,Tony Webb minor counties collection,2,
Alderley Edge Victoria v Cheadle Wesleyans,50,18950727,match information,Tony Webb minor counties collection,1,
Reddish St Joseph's v Union Street Hyde,50,18950727,match information,Tony Webb minor counties collection,1,
Heaton Moor Wesleyans v Patricroft Wesleyans,50,18950727,match information,Tony Webb minor counties collection,1,
Heaton Mersey Sunday School v Meadow Cricket Club,50,18950727,match information,Tony Webb minor counties collection,1,
Styal v Beswick Royal,50,18950727,match information,Tony Webb minor counties collection,1,
Macclesfield v Levenshulme,51,18950810,match information,Tony Webb minor counties collection,1,
Bollington v Sandbach,51,18950810,match information,Tony Webb minor counties collection,1,
Bollington 2nd XI v Stockport 2nd XI,51,18950810,match information,Tony Webb minor counties collection,1,
Hazel Grove UC v Hazel Grove Tradesmen,51,18950810,match information,Tony Webb minor counties collection,1,
Stockport v Little Lever,51,18950810,match information,Tony Webb minor counties collection,1,
Bramall 2nd XI v Stockport 2nd XI,51,18950810,match information,Tony Webb minor counties collection,1,
Cheadle Hulme 2nd XI v Sale 2nd XI,51,18950810,match information,Tony Webb minor counties collection,1,
Cheadle v Heaton Mersey,51,18950810,match information,Tony Webb minor counties collection,1,
Lancashire Hill 2nd XI v Stockport Lads' Club,51,18950810,match information,Tony Webb minor counties collection,1,
Hanover 2nd XI v Heywood's Excelsior 2nd XI,51,18950810,match information,Tony Webb minor counties collection,1,
Phoenix v Manchester,51,18950810,match information,Tony Webb minor counties collection,1,
St Joseph's (Reddish) v St Thomas' (Hyde),51,18950810,match information,Tony Webb minor counties collection,1,
Poynton v Stockport Great Moor,51,18950810,match information,Tony Webb minor counties collection,1,
Macclesfield v Levenshulme,52,18950810,match information,Tony Webb minor counties collection,1,
Bollington v Sandbach,52,18950810,match information,Tony Webb minor counties collection,1,
Bollington 2nd XI v Stockport 2nd XI,52,18950810,match information,Tony Webb minor counties collection,1,
Hazel Grove v Hazel Grove Tradesmen,52,18950810,match information,Tony Webb minor counties collection,1,
Stockport v Little Lever,52,18950810,match information,Tony Webb minor counties collection,1,
Bramall 1st XI v Stockport 2nd XI,52,18950810,match information,Tony Webb minor counties collection,1,
Cheadle Hulme 2nd XI v Sale 2nd XI,52,18950810,match information,Tony Webb minor counties collection,1,
Kersal v Heaton Mersey,52,18950810,match information,Tony Webb minor counties collection,1,
Lancashire Hill 2nd XI v Stockport Lads' Club,52,18950810,match information,Tony Webb minor counties collection,1,
Hanover 2nd XI v Heywood's Excelsior 2nd XI,52,18950810,match information,Tony Webb minor counties collection,1,
Phoenix v Manchester,52,18950810,match information,Tony Webb minor counties collection,1,
St Joseph's (Reddish) v St Thomas' (Hyde),52,18950810,match information,Tony Webb minor counties collection,1,
Poynton v Stockport Great Moor,52,18950810,match information,Tony Webb minor counties collection,1,
Hazel Grove v Poynton,52,18950812,match information,Tony Webb minor counties collection,1,
New Mills Tradesmen v Stockport Post Office,52,18950813,match information,Tony Webb minor counties collection,1,
Sale v Cheadle Hulme,52,18950810,match information,Tony Webb minor counties collection,1,
Poynton United v Wood Lane (Adlington),52,18950810,match information,Tony Webb minor counties collection,1,
Poynton 2nd XI v Great Moor 2nd XI,52,18950810,match information,Tony Webb minor counties collection,1,
Stockport v Werneth,53,18950817,match information,Tony Webb minor counties collection,1,
Bollington v Alderley Edge,53,18950817,match information,Tony Webb minor counties collection,1,
Manchester v Cheadle Hulme,53,18950817,match information,Tony Webb minor counties collection,1,
Lindow v Cheadle Wesleyans,53,18950817,match information,Tony Webb minor counties collection,1,
Langley v Crossley's,53,18950817,match information,Tony Webb minor counties collection,1,
Grey Horse v New Zealand Chief,53,18950817,match information,Tony Webb minor counties collection,1,
Lancashire Hill SS v Harpurhey Wesleyans 2nd XI,53,18950817,match information,Tony Webb minor counties collection,1,
Lancashire Hill v Harpurhey Wesleyans,53,18950817,match information,Tony Webb minor counties collection,1,
Ashton v Heaton Mersey,53,18950817,match information,Tony Webb minor counties collection,1,
Hollinwood v Marple,53,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead Park v Ormskirk,54,18950817,match information,Tony Webb minor counties collection,1,
Oxton v Huyton,54,18950817,match information,Tony Webb minor counties collection,1,
Liverpool v Rock Ferry,54,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead Victoria v New Brighton,54,18950817,match information,Tony Webb minor counties collection,1,
Bromborough Pool v Birkenhead Police,54,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead Park v Birkenhead Victoria,54,18950821,match information,Tony Webb minor counties collection,1,
Liverpool v New Brighton,54,18950821,match information,Tony Webb minor counties collection,1,
Worcestershire v Cheshire,54,18950819,match information,Tony Webb minor counties collection,1,
Mr Wynne's XI v Mr Griffith's XI,54,18950817,match information,Tony Webb minor counties collection,1,
Neston and District v Kirkdale Wesleyans,54,18950817,match information,Tony Webb minor counties collection,1,
Spital v Boughton Hall,54,18950817,match information,Tony Webb minor counties collection,1,
Woodland v Kingsley,54,18950819,match information,Tony Webb minor counties collection,1,
St Mary's v Tranmere Wesley,54,18950817,match information,Tony Webb minor counties collection,1,
Helsby v Port Sunlight,55,18950817,match information,Tony Webb minor counties collection,1,
St Mary's 2nd XI v Tranmere Wesley 2nd XI,55,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead Park v Ormskirk,55,18950817,match information,Tony Webb minor counties collection,1,
Bebington Bible Class v St John's 2nd XI,55,18950817,match information,Tony Webb minor counties collection,1,
Woodland v Kingsley,55,18950819,match information,Tony Webb minor counties collection,1,
Neston and District v Kirkdale Wesleyans,55,18950817,match information,Tony Webb minor counties collection,1,
All Saints' v Comet,55,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead St Mary's v Tranmere Wesley,55,18950817,match information,Tony Webb minor counties collection,1,
Birkenhead Victoria v New Brighton,55,18950817,match information,Tony Webb minor counties collection,1,
Wallasey v Northern 2nd XI,55,18950817,match information,Tony Webb minor counties collection,1,
New Brighton A XI v Aigburth,55,18950817,match information,Tony Webb minor counties collection,1,
Liverpool v Rock Ferry,55,18950817,match information,Tony Webb minor counties collection,1,
Oxton v Huyton,55,18950817,match information,Tony Webb minor counties collection,1,
Spital v Boughton Hall,55,18950817,match information,Tony Webb minor counties collection,1,
Liverpool 2nd XI v Rock Ferry 2nd XI,55,18950817,match information,Tony Webb minor counties collection,1,
Bromborough Pool v Birkenhead Police,55,18950817,match information,Tony Webb minor counties collection,1,
Dawpool v Laird's Bros Draughtsmen,55,18950817,match information,Tony Webb minor counties collection,1,
Stockport v Cheadle Hulme,56,18950824,match information,Tony Webb minor counties collection,1,
Reddish Vale v Mr R P Hammond's Team,56,18950824,match information,Tony Webb minor counties collection,1,
Lads' Club 2nd XI v St Thomas' Athletic,56,18950824,match information,Tony Webb minor counties collection,1,
Didsbury v Poynton,56,18950824,match information,Tony Webb minor counties collection,1,
Chorlton A Team v Macclesfield Conservative Club,56,18950824,match information,Tony Webb minor counties collection,1,
Stockport 2nd XI v Cheadle Hulme 2nd XI,56,18950824,match information,Tony Webb minor counties collection,1,
Didsbury 2nd XI v Poynton 2nd XI,56,18950824,match information,Tony Webb minor counties collection,1,
Seymour Mead's v Stockport Post Office,56,18950821,match information,Tony Webb minor counties collection,1,
Stockport Congregational 2nd XI v Longsight 3rd XI,56,18950824,match information,Tony Webb minor counties collection,1,
Cheetham 2nd XI v Levenshulme 2nd XI,56,18950824,match information,Tony Webb minor counties collection,1,
Bollington Fairfield v Bollington,56,18950824,match information,Tony Webb minor counties collection,1,
Stockport v Cheadle Hulme,57,18950824,match information,Tony Webb minor counties collection,1,
Stockport 2nd XI v Cheadle Hulme 2nd XI,57,18950824,match information,Tony Webb minor counties collection,1,
